sector  pad  layer noise_in_MeV
3  31  1  0.0065618379631230015
3  32  1  0.01109551106012995
3  33  1  0.009721590858855208
3  34  1  0.01111796006563241
3  35  1  0.010235935993592278
3  36  1  0.01011553313324471
3  37  1  0.01148161575708241
3  38  1  0.012572277541239699
3  39  1  0.010251273533429726
3  40  1  0.010898543813888634
3  41  1  0.013066051504463454
3  42  1  0.011374324811206761
3  43  1  0.01283753281611175
3  44  1  0.01176038760558375
3  45  1  0.014132595363398252
3  46  1  0.012064111839167613
3  47  1  0.013805029761589965
3  48  1  0.012047598632784194
3  49  1  0.012426486509024752
3  50  1  0.011985002171118345
3  51  1  0.01196815374413119
3  52  1  0.014304634168885876
3  53  1  0.01568224119819351
3  54  1  0.015217935520471206
3  55  1  0.013326096493380265
3  56  1  0.01572948096455884
3  57  1  0.013864109998565891
3  58  1  0.01414931568822612
3  59  1  0.013600008840343852
3  60  1  0.015053902501330704
3  61  1  0.015150171872642027
3  62  1  0.018895834713143576
3  63  1  0.019235212052367855
-1  63  1  0.031356999793625016
-1  63  1  0.09223512742225283
0  62  1  0.016700319315655993
0  63  1  0.018894821341677394
0  60  1  0.016419821477340245
0  61  1  0.019614456386776266
0  58  1  0.01426750621865022
0  59  1  0.016797877320694852
0  56  1  0.014452552265173233
0  57  1  0.015961948878708703
0  54  1  0.013191494231710522
0  55  1  0.015126572344784798
0  52  1  0.013848420492171663
0  53  1  0.01441140445297615
0  50  1  0.014150000510891146
0  51  1  0.012915837381846833
0  48  1  0.013169348331067142
0  49  1  0.015284857926032788
0  46  1  0.01333888906305481
0  47  1  0.014625819555871866
0  44  1  0.013758044367686515
0  45  1  0.013210846392611423
0  42  1  0.014127084533400208
0  43  1  0.012492186620947346
0  40  1  0.01370064592921189
0  41  1  0.011926667185070525
0  38  1  0.01252190003021359
0  39  1  0.01165825235958785
0  36  1  0.013370226355658071
0  37  1  0.011495910018224134
0  34  1  0.012627917087668184
0  35  1  0.014361347099303973
0  32  1  0.012326464432347677
0  33  1  0.016614248781630883
0  30  1  0.01509323969226415
0  31  1  0.013310898597547015
0  28  1  0.011006724892094678
0  29  1  0.01132573836569521
0  26  1  0.011405801592734998
0  27  1  0.013516327505070104
0  24  1  0.011097678869038168
0  25  1  0.011949211685981101
0  22  1  0.012036245700533696
0  23  1  0.012721407718974734
0  20  1  0.012978971890438572
0  21  1  0.010325805961704914
0  18  1  0.009960160974006677
0  19  1  0.013528830345403513
0  16  1  0.010671378241865419
0  17  1  0.011514041613218116
0  14  1  0.00954837977431789
0  15  1  0.011690462327332287
0  12  1  0.011340151657013353
0  13  1  0.009171190120005435
0  10  1  0.008494600365890335
0  11  1  0.010467719449730038
0  8  1  0.010644246300010025
0  9  1  0.011133455011954103
0  6  1  0.009475019046149542
0  7  1  0.009705080978468353
0  4  1  0.009590479863780511
0  5  1  0.008503537031052246
0  2  1  0.010646157930285489
0  3  1  0.008757331599693432
0  0  1  0.007947001431966591
0  1  1  0.008280353901569197
1  1  1  0.006050517966656106
1  0  1  0.013003474013963129
1  3  1  0.007758208189144826
1  2  1  0.006143910127186588
1  5  1  0.008225989778146254
1  4  1  0.010381731466056122
1  7  1  0.009241202841787576
1  6  1  0.009036950276768983
1  9  1  0.008933889111532433
1  8  1  0.008662290201075201
1  11  1  0.00942275936703663
1  10  1  0.010319461377570432
1  13  1  0.009650061759044162
1  12  1  0.01044541080696573
1  15  1  0.010300826225434176
1  14  1  0.009527263984128306
1  17  1  0.009415175348343534
1  16  1  0.008963860785468833
1  19  1  0.009939460883799881
1  18  1  0.010900606415637193
1  21  1  0.010092931420991907
1  20  1  0.009573161389745767
1  23  1  0.01071097410746009
1  22  1  0.010503361153502606
1  25  1  0.011192240296328752
1  24  1  0.008914962084940175
1  27  1  0.009870439945522776
1  26  1  0.010639052703629307
1  29  1  0.009869229993232444
1  28  1  0.008708689394898834
1  31  1  0.008960321144338791
1  30  1  0.010227181877844944
1  33  1  0.009941966876603928
1  32  1  0.00952847511570937
1  35  1  0.010891739328628424
1  34  1  0.01008424122759284
1  37  1  0.009659661185597078
1  36  1  0.009554097565428679
1  39  1  0.011046772426039441
1  38  1  0.012407809548412408
1  41  1  0.010623216008398464
1  40  1  0.0097212490543947
1  43  1  0.010767113063433661
1  42  1  0.012793351529329405
1  45  1  0.01182003453785419
1  44  1  0.011800544399937728
1  47  1  0.012728547145062124
1  46  1  0.012429080415333155
1  49  1  0.012602700313960448
1  48  1  0.013705260493843532
1  51  1  0.011454352992143285
1  50  1  0.013773863373556386
1  53  1  0.011263159303037916
1  52  1  0.012624687010355105
1  55  1  0.012950604051896764
1  54  1  0.011326190034045305
1  57  1  0.012929346157174058
1  56  1  0.013617196958482502
1  59  1  0.0148918038631573
1  58  1  0.011936003629790361
1  61  1  0.016764890200358477
1  60  1  0.014674669315835174
1  63  1  0.015125759813470923
-1  63  2  0.05777041212122719
3  63  2  0.03853039907306602
3  62  2  0.03955503008126333
3  61  2  0.039530652115178054
3  60  2  0.044212639348514285
3  59  2  0.03641203218123841
3  58  2  0.04269862814489031
3  57  2  0.04090071464503941
3  56  2  0.048113313221770836
3  55  2  0.03133154084566937
3  54  2  0.033468361069684135
3  53  2  0.03342359339450692
3  52  2  0.03395098772601135
3  51  2  0.02525964038823753
3  50  2  0.04494339402084887
3  49  2  0.03468720275474056
3  48  2  0.03761991691721265
